ECNumber	EnzymeType	Organism	Smiles	Substrate	UniprotID	Value	Unit
3.1.3.45	wildtype	Bacteroides thetaiotaomicron	C1C(C(C(OC1(C(=O)O)O)C(C(COP(=O)(O)O)O)O)O)O	KDN 9-phosphate		0.061	s^(-1)
4.2.3.4	wildtype	Actinidia chinensis	C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O	3-deoxy-D-arabino-heptulosonic acid 7-phosphate		20.1	s^(-1)
4.2.3.4	wildtype	Pyrococcus furiosus	C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O	3-deoxy-D-arabino-heptulosonic acid 7-phosphate		3.0	s^(-1)
4.2.3.4	wildtype	Aspergillus nidulans	C(C(C(C(COP(=O)([O-])[O-])O)O)O)C(=O)C(=O)[O-]	3-deoxy-D-arabino-heptulosonate 7-phosphate		6.8	s^(-1)
4.2.3.4	wildtype	Escherichia coli	C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O	3-deoxy-D-arabino-heptulosonic acid 7-phosphate		25000.0	s^(-1)
4.2.3.4	wildtype	Neurospora crassa	C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O	3-deoxy-D-arabino-heptulosonic acid 7-phosphate		19.0	s^(-1)
1.2.1.59	L36T	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+	Q01651	1.58	s^(-1)
1.2.1.59	L36T/T37K/P192S/D35G	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	Q01651	2.73	s^(-1)
1.2.1.59	L36T/P192S/D35G	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	Q01651	2.87	s^(-1)
1.2.1.59	D35G	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+	Q01651	2.97	s^(-1)
